# packages in environment at /home/zhanqiu/miniforge3/envs/stretch_ai:
#
# Name                    Version                   Build  Channel
libstdcxx                 14.1.0               hc0a3c3a_1    conda-forge
libstdcxx-ng              14.1.0               h4852527_1    conda-forge
libuuid                   2.38.1               h0b41bf4_0    conda-forge
libxcrypt                 4.4.36               hd590300_1    conda-forge
libxml2                   2.12.7               he7c6b58_4    conda-forge
libzlib                   1.3.1                h4ab18f5_1    conda-forge
llvm-openmp               18.1.8               hf5423f3_1    conda-forge
llvmlite                  0.43.0                   pypi_0    pypi
loguru                    0.7.2                    pypi_0    pypi
lxml                      5.3.0                    pypi_0    pypi
magma                     2.5.4                hc72dce7_4    conda-forge
markupsafe                2.1.5            py39h8cd3c5a_1    conda-forge
matplotlib                3.9.2                    pypi_0    pypi
matplotlib-inline         0.1.7                    pypi_0    pypi
mccabe                    0.7.0                    pypi_0    pypi
mkl                       2022.2.1         h6508926_16999    conda-forge
more-itertools            10.4.0                   pypi_0    pypi
mpmath                    1.3.0                    pypi_0    pypi
msgpack                   1.0.8                    pypi_0    pypi
multidict                 6.0.5            py39hd1e30aa_0    conda-forge
mypy                      1.11.2                   pypi_0    pypi
mypy-extensions           1.0.0                    pypi_0    pypi
nbformat                  5.10.4                   pypi_0    pypi
nccl                      2.22.3.1             hee583db_1    conda-forge
ncurses                   6.5                  he02047a_1    conda-forge
nest-asyncio              1.6.0                    pypi_0    pypi
networkx                  3.2.1                    pypi_0    pypi
ninja                     1.12.1               h297d8ca_0    conda-forge
nodeenv                   1.9.1                    pypi_0    pypi
numba                     0.60.0                   pypi_0    pypi
numpy                     1.26.4           py39h474f0d3_0    conda-forge
numpy-quaternion          2023.0.4                 pypi_0    pypi
nvidia-cublas-cu12        12.1.3.1                 pypi_0    pypi
nvidia-cuda-cupti-cu12    12.1.105                 pypi_0    pypi
nvidia-cuda-nvrtc-cu12    12.1.105                 pypi_0    pypi
nvidia-cuda-runtime-cu12  12.1.105                 pypi_0    pypi
nvidia-cudnn-cu12         8.9.2.26                 pypi_0    pypi
nvidia-cufft-cu12         11.0.2.54                pypi_0    pypi
nvidia-curand-cu12        10.3.2.106               pypi_0    pypi
nvidia-cusolver-cu12      11.4.5.107               pypi_0    pypi
nvidia-cusparse-cu12      12.1.0.106               pypi_0    pypi
nvidia-nccl-cu12          2.20.5                   pypi_0    pypi
nvidia-nvjitlink-cu12     12.6.68                  pypi_0    pypi
nvidia-nvtx-cu12          12.1.105                 pypi_0    pypi
omegaconf                 2.3.0                    pypi_0    pypi
open3d                    0.18.0                   pypi_0    pypi
openai                    1.43.0                   pypi_0    pypi
openai-clip               1.0.1                    pypi_0    pypi
openai-whisper            20231117                 pypi_0    pypi
opencv-python             4.10.0.84                pypi_0    pypi
openssl                   3.3.2                hb9d3cd8_0    conda-forge
overrides                 7.7.0                    pypi_0    pypi
packaging                 24.1                     pypi_0    pypi
pandas                    2.2.2                    pypi_0    pypi
parso                     0.8.4                    pypi_0    pypi
pathspec                  0.12.1                   pypi_0    pypi
pexpect                   4.9.0                    pypi_0    pypi
pfzy                      0.3.4                    pypi_0    pypi
pillow                    10.4.0                   pypi_0    pypi
pin                       2.7.0                    pypi_0    pypi
pip                       24.3.1             pyh8b19718_0    conda-forge
platformdirs              4.2.2                    pypi_0    pypi
plotly                    5.24.0                   pypi_0    pypi
pluggy                    1.5.0                    pypi_0    pypi
pooch                     1.8.2                    pypi_0    pypi
portalocker               2.10.1                   pypi_0    pypi
pre-commit                3.8.0                    pypi_0    pypi
prompt-toolkit            3.0.47                   pypi_0    pypi
proto-plus                1.24.0                   pypi_0    pypi
protobuf                  4.25.4                   pypi_0    pypi
psutil                    6.0.0            py39hd3abc70_0    conda-forge
ptyprocess                0.7.0                    pypi_0    pypi
pure-eval                 0.2.3                    pypi_0    pypi
py-cpuinfo                9.0.0                    pypi_0    pypi
pyarrow                   17.0.0                   pypi_0    pypi
pyasn1                    0.6.0                    pypi_0    pypi
pyasn1-modules            0.4.0                    pypi_0    pypi
pyaudio                   0.2.14                   pypi_0    pypi
pycodestyle               2.12.1                   pypi_0    pypi
pycollada                 0.8                      pypi_0    pypi
pycparser                 2.22               pyhd8ed1ab_0    conda-forge
pydantic                  2.8.2                    pypi_0    pypi
pydantic-core             2.20.1                   pypi_0    pypi
pydub                     0.25.1                   pypi_0    pypi
pyflakes                  3.2.0                    pypi_0    pypi
pyg                       2.5.2           py39_torch_1.12.0_cu116    pyg
pyglet                    2.0.17                   pypi_0    pypi
pygments                  2.18.0                   pypi_0    pypi
pyliblzfse                0.4.1                    pypi_0    pypi
pynput                    1.7.7                    pypi_0    pypi
pyopengl                  3.1.7                    pypi_0    pypi
pyparsing                 3.1.4              pyhd8ed1ab_0    conda-forge
pyquaternion              0.9.9                    pypi_0    pypi
pyrealsense2              2.55.1.6486              pypi_0    pypi
pyribbit                  0.1.46                   pypi_0    pypi
pysocks                   1.7.1              pyha2e5f31_6    conda-forge
pytest                    8.3.3                    pypi_0    pypi
python                    3.9.19          h0755675_0_cpython    conda-forge
python-dateutil           2.9.0.post0              pypi_0    pypi
python-xlib               0.33                     pypi_0    pypi
python_abi                3.9                      5_cp39    conda-forge
pyttsx3                   2.91                     pypi_0    pypi
pytz                      2024.1                   pypi_0    pypi
pyusb                     1.2.1                    pypi_0    pypi
pyyaml                    6.0.2                    pypi_0    pypi
pyzmq                     26.2.0                   pypi_0    pypi
quaternion                3.5.2.post4              pypi_0    pypi
readline                  8.2                  h8228510_1    conda-forge
referencing               0.35.1                   pypi_0    pypi
regex                     2024.7.24                pypi_0    pypi
requests                  2.32.3             pyhd8ed1ab_0    conda-forge
rerun-sdk                 0.18.2                   pypi_0    pypi
retrying                  1.3.4                    pypi_0    pypi
rpds-py                   0.20.0                   pypi_0    pypi
rsa                       4.9                      pypi_0    pypi
safetensors               0.4.4                    pypi_0    pypi
sam-2                     1.0                      pypi_0    pypi
schema                    0.7.7                    pypi_0    pypi
scikit-fmm                2024.5.29                pypi_0    pypi
scikit-image              0.24.0                   pypi_0    pypi
scikit-learn              1.5.1            py39hf7b0125_0    conda-forge
scipy                     1.13.1           py39haf93ffa_0    conda-forge
seaborn                   0.13.2                   pypi_0    pypi
sentencepiece             0.2.0                    pypi_0    pypi
setuptools                72.2.0             pyhd8ed1ab_0    conda-forge
simpleaudio               1.0.4                    pypi_0    pypi
six                       1.16.0                   pypi_0    pypi
sleef                     3.6.1                h1b44611_3    conda-forge
smmap                     5.0.1                    pypi_0    pypi
sniffio                   1.3.1                    pypi_0    pypi
sophuspy                  1.2.0                    pypi_0    pypi
sounddevice               0.5.0                    pypi_0    pypi
soundfile                 0.12.1                   pypi_0    pypi
soxr                      0.5.0.post1              pypi_0    pypi
stack-data                0.6.3                    pypi_0    pypi
stretch-ai                0.0.13                    dev_0    <develop>
sympy                     1.13.2                   pypi_0    pypi
tbb                       2021.12.0            h84d6215_4    conda-forge
tenacity                  9.0.0                    pypi_0    pypi
termcolor                 2.4.0                    pypi_0    pypi
threadpoolctl             3.5.0              pyhc1e730c_0    conda-forge
tifffile                  2024.8.30                pypi_0    pypi
tiktoken                  0.7.0                    pypi_0    pypi
timm                      1.0.9                    pypi_0    pypi
tk                        8.6.13          noxft_h4845f30_101    conda-forge
tokenizers                0.19.1                   pypi_0    pypi
tomli                     2.0.1                    pypi_0    pypi
torch                     2.3.1                    pypi_0    pypi
torch-cluster             1.6.2                    pypi_0    pypi
torchvision               0.18.1                   pypi_0    pypi
tqdm                      4.66.5             pyhd8ed1ab_0    conda-forge
traitlets                 5.14.3                   pypi_0    pypi
transformers              4.44.2                   pypi_0    pypi
trimesh                   4.4.8                    pypi_0    pypi
triton                    2.3.1                    pypi_0    pypi
types-cachetools          5.5.0.20240820           pypi_0    pypi
types-cffi                1.16.0.20240331          pypi_0    pypi
types-decorator           5.1.8.20240310           pypi_0    pypi
types-protobuf            5.27.0.20240920          pypi_0    pypi
types-pyopenssl           24.1.0.20240722          pypi_0    pypi
types-pyyaml              6.0.12.20240917          pypi_0    pypi
types-requests            2.32.0.20240914          pypi_0    pypi
types-setuptools          75.1.0.20240917          pypi_0    pypi
types-six                 1.16.21.20240513          pypi_0    pypi
types-tabulate            0.9.0.20240106           pypi_0    pypi
typing-extensions         4.12.2               hd8ed1ab_0    conda-forge
typing_extensions         4.12.2             pyha770c72_0    conda-forge
tzdata                    2024.1                   pypi_0    pypi
ultralytics               8.2.86                   pypi_0    pypi
ultralytics-thop          2.0.6                    pypi_0    pypi
urchin                    0.0.27                   pypi_0    pypi
uritemplate               4.1.1                    pypi_0    pypi
urllib3                   2.2.2              pyhd8ed1ab_1    conda-forge
virtualenv                20.26.5                  pypi_0    pypi
wave                      0.0.2                    pypi_0    pypi
wcwidth                   0.2.13                   pypi_0    pypi
webp                      0.4.0                    pypi_0    pypi
werkzeug                  3.0.4                    pypi_0    pypi
wget                      3.2                      pypi_0    pypi
wheel                     0.44.0             pyhd8ed1ab_0    conda-forge
widgetsnbextension        4.0.13                   pypi_0    pypi
xz                        5.2.6                h166bdaf_0    conda-forge
yacs                      0.1.8                    pypi_0    pypi
yarl                      1.9.6            py39h8cd3c5a_0    conda-forge
zipp                      3.20.1                   pypi_0    pypi
zstandard                 0.23.0           py39h623c9ba_0    conda-forge
zstd                      1.5.6                ha6fb4c9_0    conda-forge
